title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sugar,5d6Mjuu2uCGRPYpFjGpCX5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,audio_features,5d6Mjuu2uCGRPYpFjGpCX5,spotify:track:5d6Mjuu2uCGRPYpFjGpCX5,https://api.spotify.com/v1/tracks/5d6Mjuu2uCGRPYpFjGpCX5,https://api.spotify.com/v1/audio-analysis/5d6Mjuu2uCGRPYpFjGpCX5,235493,4
I'm Not The Only One,0XYCqYGz1t26UfKCePwCID,0.449,0.444,4,-7.248,1,0.0416,0.755,6.88e-05,0.267,0.138,81.222,audio_features,0XYCqYGz1t26UfKCePwCID,spotify:track:0XYCqYGz1t26UfKCePwCID,https://api.spotify.com/v1/tracks/0XYCqYGz1t26UfKCePwCID,https://api.spotify.com/v1/audio-analysis/0XYCqYGz1t26UfKCePwCID,220254,4
Sunday Morning,5qII2n90lVdPDcgXEEVHNy,0.608,0.768,0,-5.227,1,0.0475,0.0913,0.0,0.0629,0.809,88.059,audio_features,5qII2n90lVdPDcgXEEVHNy,spotify:track:5qII2n90lVdPDcgXEEVHNy,https://api.spotify.com/v1/tracks/5qII2n90lVdPDcgXEEVHNy,https://api.spotify.com/v1/audio-analysis/5qII2n90lVdPDcgXEEVHNy,244880,4
Let It Go ,0qcr5FMsEO85NAQjrlDRKo,0.543,0.485,8,-6.79,1,0.0305,0.555,0.0,0.12,0.372,136.961,audio_features,0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840,4
Everglow,5qfZRNjt2TkHEL12r3sDEU,0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,audio_features,5qfZRNjt2TkHEL12r3sDEU,spotify:track:5qfZRNjt2TkHEL12r3sDEU,https://api.spotify.com/v1/tracks/5qfZRNjt2TkHEL12r3sDEU,https://api.spotify.com/v1/audio-analysis/5qfZRNjt2TkHEL12r3sDEU,282693,4
Maps,7oUHzZKNKUTrlU7DYxhQ7v,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,audio_features,7oUHzZKNKUTrlU7DYxhQ7v,spotify:track:7oUHzZKNKUTrlU7DYxhQ7v,https://api.spotify.com/v1/tracks/7oUHzZKNKUTrlU7DYxhQ7v,https://api.spotify.com/v1/audio-analysis/7oUHzZKNKUTrlU7DYxhQ7v,189960,4
Make You Feel My Love,273QnyCvJB65rScHJ1nPZb,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,audio_features,273QnyCvJB65rScHJ1nPZb,spotify:track:273QnyCvJB65rScHJ1nPZb,https://api.spotify.com/v1/tracks/273QnyCvJB65rScHJ1nPZb,https://api.spotify.com/v1/audio-analysis/273QnyCvJB65rScHJ1nPZb,212040,3
Way Back Into Love,0zYP35FfMItfaP6c9gcQZB,0.281,0.675,10,-6.033,1,0.0353,0.0399,0.0,0.129,0.565,203.473,audio_features,0zYP35FfMItfaP6c9gcQZB,spotify:track:0zYP35FfMItfaP6c9gcQZB,https://api.spotify.com/v1/tracks/0zYP35FfMItfaP6c9gcQZB,https://api.spotify.com/v1/audio-analysis/0zYP35FfMItfaP6c9gcQZB,277853,4
Be Be Your Love,4Yq3qyQHzEv4CGjhFbyKXo,0.633,0.399,3,-8.435,1,0.031,0.362,6.18e-05,0.0612,0.411,119.957,audio_features,4Yq3qyQHzEv4CGjhFbyKXo,spotify:track:4Yq3qyQHzEv4CGjhFbyKXo,https://api.spotify.com/v1/tracks/4Yq3qyQHzEv4CGjhFbyKXo,https://api.spotify.com/v1/audio-analysis/4Yq3qyQHzEv4CGjhFbyKXo,253600,3
Duet ,4G8wt3fUBpgBjI35TBF2eQ,0.459,0.14,9,-15.482,1,0.0367,0.895,0.00565,0.138,0.146,128.904,audio_features,4G8wt3fUBpgBjI35TBF2eQ,spotify:track:4G8wt3fUBpgBjI35TBF2eQ,https://api.spotify.com/v1/tracks/4G8wt3fUBpgBjI35TBF2eQ,https://api.spotify.com/v1/audio-analysis/4G8wt3fUBpgBjI35TBF2eQ,241120,4
